District,Region,Year,Rainfall_mm,DayTemp_C,NightTemp_C,NDVI,EVI,Wetland_Proximity_Score,Wetland_Proximity_Category,Est_Distance_to_Wetland_km
Buikwe,Central,2020,1565.1,26.2,18.3,0.774,0.679,0.247,Far (>25 km),27.7
Buikwe,Central,2021,1494.4,26.5,18.5,0.784,0.637,0.262,Far (>25 km),28.5
Buikwe,Central,2022,1457.1,26.2,18.6,0.796,0.648,0.252,Far (>25 km),27.5
Buikwe,Central,2023,1356.5,26.2,17.8,0.758,0.629,0.256,Far (>25 km),28.9
Buikwe,Central,2024,1423.2,26.1,17.4,0.732,0.601,0.253,Far (>25 km),29.0
Bukomansimbi,Central,2020,824.3,28.3,15.6,0.509,0.388,0.693,Near (2-10 km),10.8
Bukomansimbi,Central,2021,938.0,28.1,15.7,0.535,0.393,0.768,"Very Near (Adjacent, 0-2 km)",8.7
Bukomansimbi,Central,2022,929.4,28.7,15.9,0.56,0.411,0.683,Near (2-10 km),13.2
Bukomansimbi,Central,2023,1004.5,28.6,16.3,0.536,0.424,0.67,Near (2-10 km),11.4
Bukomansimbi,Central,2024,870.6,28.8,16.3,0.504,0.431,0.704,Near (2-10 km),11.0
Butambala,Central,2020,1403.6,27.9,17.7,0.687,0.525,0.675,Near (2-10 km),11.9
Butambala,Central,2021,1456.7,28.2,18.1,0.697,0.548,0.681,Near (2-10 km),13.2
Butambala,Central,2022,1915.9,28.7,18.1,0.739,0.565,0.755,"Very Near (Adjacent, 0-2 km)",8.6
Butambala,Central,2023,1563.3,27.8,17.5,0.748,0.564,0.69,Near (2-10 km),11.9
Butambala,Central,2024,1706.3,28.1,18.2,0.732,0.555,0.705,Near (2-10 km),12.0
Buvuma,Central,2020,1676.1,25.7,17.7,0.795,0.631,0.178,Far (>25 km),30.5
Buvuma,Central,2021,1770.4,25.6,17.5,0.849,0.626,0.197,Far (>25 km),31.7
Buvuma,Central,2022,1650.0,25.2,18.1,0.819,0.643,0.165,Far (>25 km),32.3
Buvuma,Central,2023,1573.3,25.2,18.8,0.794,0.641,0.198,Far (>25 km),30.8
Buvuma,Central,2024,1344.6,25.4,18.7,0.742,0.631,0.172,Far (>25 km),32.2
Gomba,Central,2020,781.6,27.7,17.6,0.501,0.4,0.696,Near (2-10 km),10.8
Gomba,Central,2021,1065.5,27.7,15.9,0.543,0.387,0.692,Near (2-10 km),11.0
Gomba,Central,2022,1038.4,27.7,17.6,0.55,0.393,0.668,Near (2-10 km),12.2
Gomba,Central,2023,984.6,28.2,18.0,0.552,0.388,0.68,Near (2-10 km),11.9
Gomba,Central,2024,1208.2,28.1,17.9,0.591,0.442,0.693,Near (2-10 km),12.5
Kalangala,Central,2020,1310.8,26.3,18.7,0.741,0.606,0.202,Far (>25 km),31.5
Kalangala,Central,2021,1557.5,26.3,18.2,0.79,0.627,0.203,Far (>25 km),31.0
Kalangala,Central,2022,1266.2,26.0,18.1,0.756,0.603,0.176,Far (>25 km),30.5
Kalangala,Central,2023,1395.8,26.1,18.6,0.718,0.574,0.188,Far (>25 km),31.0
Kalangala,Central,2024,1612.4,26.3,18.5,0.773,0.592,0.19,Far (>25 km),29.8
Kalungu,Central,2020,1019.5,28.1,16.2,0.537,0.419,0.071,Far (>25 km),36.3
Kalungu,Central,2021,1166.1,28.6,16.6,0.568,0.439,0.087,Far (>25 km),35.2
Kalungu,Central,2022,954.3,28.1,16.7,0.528,0.396,0.067,Far (>25 km),35.2
Kalungu,Central,2023,751.4,28.6,16.5,0.509,0.402,0.1,Far (>25 km),34.6
Kalungu,Central,2024,851.9,28.0,16.3,0.498,0.38,0.103,Far (>25 km),33.4
Kampala,Central,2020,1847.9,28.6,18.4,0.424,0.21,0.082,Far (>25 km),35.6
Kampala,Central,2021,1699.4,29.1,18.1,0.488,0.224,0.081,Far (>25 km),35.6
Kampala,Central,2022,1762.2,28.7,18.2,0.453,0.22,0.086,Far (>25 km),33.8
