District,Region,Reference_Station,Station_Historical_Mean_mm_2012_2018,Rainfall_2020_mm,Rainfall_2021_mm,Rainfall_2022_mm,Rainfall_2023_mm,Rainfall_2024_mm,Avg_2020_2024_mm
Buikwe,Central,Entebbe,1505.9,1565.1,1494.4,1457.1,1356.5,1423.2,1459.3
Bukomansimbi,Central,Mbarara,934.5,1050.1,1117.7,1032.9,1023.3,991.1,1043.0
Butambala,Central,Kampala,1688.0,1746.9,1836.7,1866.2,1322.5,1118.8,1578.2
Buvuma,Central,Entebbe,1505.9,1392.0,1509.5,1500.6,1578.2,1439.8,1484.0
Gomba,Central,Mubende,1154.8,1213.7,1099.0,1333.8,1281.8,1337.6,1253.2
Kalangala,Central,Entebbe,1505.9,1367.7,1408.6,1456.7,1578.6,1566.7,1475.7
Kalungu,Central,Mbarara,934.5,779.7,808.7,1058.6,866.7,944.5,891.6
Kampala,Central,Kampala,1688.0,1351.4,1582.4,1981.5,1281.1,1464.2,1532.1
Kasanda,Central,Mubende,1154.8,1055.7,1177.6,1155.6,985.7,1191.3,1113.2
Kayunga,Central,Kampala,1688.0,1990.5,2158.3,1944.2,1807.8,1401.2,1860.4
Kiboga,Central,Mubende,1154.8,1110.7,1087.0,984.8,983.4,1033.4,1039.9
Kyankwanzi,Central,Mubende,1154.8,975.6,923.5,1101.5,1303.0,1273.6,1115.4
Kyotera,Central,Mbarara,934.5,490.0,828.2,795.9,731.8,998.1,768.8
Luweero,Central,Kampala,1688.0,1831.9,1800.5,1837.3,2143.5,2004.0,1923.4
Lwengo,Central,Mbarara,934.5,1036.6,754.3,1047.9,1105.7,1067.4,1002.4
Lyantonde,Central,Mbarara,934.5,745.7,984.4,702.6,828.0,1037.6,859.7
Masaka,Central,Mbarara,934.5,1088.8,1064.5,959.3,987.9,1042.7,1028.6
Mityana,Central,Mubende,1154.8,1292.5,1126.5,1096.9,1255.0,1193.0,1192.8
Mpigi,Central,Kampala,1688.0,1844.2,2113.4,1724.3,1351.6,1536.1,1713.9
Mubende,Central,Mubende,1154.8,1113.9,1302.9,1087.9,1277.1,1051.0,1166.6
Mukono,Central,Entebbe,1505.9,1553.9,1683.3,1690.2,1619.5,1565.9,1622.6
Nakaseke,Central,Kampala,1688.0,1847.9,1699.4,1762.2,1858.8,1748.0,1783.3
Nakasongola,Central,Kampala,1688.0,1903.4,2272.0,1974.6,1680.1,1591.0,1884.2
Rakai,Central,Mbarara,934.5,1061.0,932.5,986.9,1205.8,676.3,972.5
Sembabule,Central,Mbarara,934.5,910.3,980.9,983.6,892.3,1010.0,955.4
Wakiso,Central,Kampala,1688.0,1582.6,2265.9,1980.1,1650.0,1649.5,1825.6
Amuria,Eastern,Soroti,1305.9,1284.2,895.6,1090.4,1379.4,1159.1,1161.7
Budaka,Eastern,Tororo,1496.5,1655.8,1699.1,1823.2,1319.0,1373.8,1574.2
Bududa,Eastern,Buginyanya,2170.3,2273.1,2432.6,1706.0,2233.5,1892.4,2107.5
Bugiri,Eastern,Jinja,1251.1,1122.4,1224.3,1366.0,1275.7,1279.6,1253.6
Bugweri,Eastern,Jinja,1251.1,1296.7,1257.8,1412.9,1416.8,1278.5,1332.5
Bukedea,Eastern,Soroti,1305.9,1288.1,1434.7,1311.8,1327.5,1417.6,1355.9
Bukwo,Eastern,Buginyanya,2170.3,2319.9,1906.1,1765.0,2155.9,1965.6,2022.5
Bulambuli,Eastern,Buginyanya,2170.3,1786.1,2298.3,2369.9,2545.5,2107.3,2221.4
Busia,Eastern,Tororo,1496.5,1301.0,1559.5,1791.2,1446.9,1746.8,1569.1
Butaleja,Eastern,Tororo,1496.5,1529.3,1169.7,1623.4,1524.4,1402.9,1449.9
Butebo,Eastern,Tororo,1496.5,1592.5,1787.1,1423.2,1665.8,1810.9,1655.9
Buyende,Eastern,Jinja,1251.1,1288.7,1186.8,1334.5,1292.3,1278.4,1276.1
Iganga,Eastern,Jinja,1251.1,1279.0,1021.9,1130.6,1016.0,1254.0,1140.3
Jinja,Eastern,Jinja,1251.1,1199.8,1232.1,1331.0,1287.3,1401.7,1290.4
Kaberamaido,Eastern,Soroti,1305.9,1456.1,1578.7,1639.1,1323.3,1441.9,1487.8
Kalaki,Eastern,Soroti,1305.9,1042.5,924.0,1330.1,1132.5,1243.3,1134.5
Kaliro,Eastern,Jinja,1251.1,1240.6,1185.9,1252.5,1437.9,1321.1,1287.6
Kamuli,Eastern,Jinja,1251.1,1375.8,1274.1,1128.1,1150.2,1327.5,1251.1
Kapchorwa,Eastern,Buginyanya,2170.3,1918.9,2291.1,2376.9,2244.2,2363.1,2238.8
Kapelebyong,Eastern,Soroti,1305.9,1141.0,1017.3,1110.6,1373.8,1246.2,1177.8
Katakwi,Eastern,Soroti,1305.9,1142.3,1022.5,1189.4,1091.0,1284.5,1145.9
Kibuku,Eastern,Tororo,1496.5,1401.5,1353.2,1113.2,1486.7,1445.8,1360.1
