District,Region,Latitude,Longitude,Data_Source
Buikwe,Central,0.33,33.0,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Bukomansimbi,Central,-0.3,31.5,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Butambala,Central,0.2,32.1,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Buvuma,Central,-0.2,33.3,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Gomba,Central,0.15,31.85,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kalangala,Central,-0.35,32.25,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kalungu,Central,-0.15,31.75,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kampala,Central,0.317,32.617,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kasanda,Central,0.5,31.65,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kayunga,Central,0.7,32.9,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kiboga,Central,1.0,31.77,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kyankwanzi,Central,1.1,31.6,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kyotera,Central,-0.6,31.5,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Luweero,Central,0.85,32.47,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Lwengo,Central,-0.45,31.35,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Lyantonde,Central,-0.4,31.15,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Masaka,Central,-0.33,31.73,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Mityana,Central,0.4,32.05,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Mpigi,Central,0.23,32.3,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Mubende,Central,0.58,31.37,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Mukono,Central,0.35,32.76,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Nakaseke,Central,1.2,32.1,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Nakasongola,Central,1.35,32.45,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Rakai,Central,-0.7,31.4,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Sembabule,Central,-0.05,31.35,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Wakiso,Central,0.4,32.48,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Amuria,Eastern,2.02,33.65,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Budaka,Eastern,0.9,33.92,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Bududa,Eastern,0.97,34.33,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Bugiri,Eastern,0.58,33.75,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Bugweri,Eastern,0.55,33.6,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Bukedea,Eastern,1.35,34.05,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Bukwo,Eastern,1.35,34.75,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Bulambuli,Eastern,1.1,34.4,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Busia,Eastern,0.45,34.1,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Butaleja,Eastern,0.85,33.93,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Butebo,Eastern,1.15,33.98,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Buyende,Eastern,1.15,33.13,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Iganga,Eastern,0.6,33.5,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Jinja,Eastern,0.47,33.18,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kaberamaido,Eastern,1.75,33.15,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kalaki,Eastern,1.9,33.3,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kaliro,Eastern,1.05,33.5,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kamuli,Eastern,0.95,33.12,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kapchorwa,Eastern,1.4,34.45,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kapelebyong,Eastern,1.95,33.85,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Katakwi,Eastern,1.9,34.0,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kibuku,Eastern,1.05,33.78,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kumi,Eastern,1.47,33.93,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kween,Eastern,1.55,34.55,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Luuka,Eastern,0.75,33.3,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Manafwa,Eastern,0.93,34.35,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Mayuge,Eastern,0.45,33.47,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Mbale,Eastern,1.08,34.18,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Namayingo,Eastern,0.28,33.85,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Namisindwa,Eastern,0.87,34.3,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Namutumba,Eastern,0.83,33.65,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Ngora,Eastern,1.47,33.78,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Pallisa,Eastern,1.15,33.72,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Serere,Eastern,1.5,33.55,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Sironko,Eastern,1.23,34.25,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Soroti,Eastern,1.72,33.62,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Tororo,Eastern,0.68,34.17,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Abim,Northern,2.7,33.65,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Adjumani,Northern,3.38,31.79,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Agago,Northern,2.92,33.45,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Alebtong,Northern,2.25,33.32,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Amolatar,Northern,1.63,32.83,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Amudat,Northern,1.78,34.9,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Amuru,Northern,2.83,31.95,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Apac,Northern,1.98,32.53,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Arua,Northern,3.03,30.91,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Dokolo,Northern,1.92,33.15,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Gulu,Northern,2.78,32.28,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kaabong,Northern,3.52,34.15,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Karenga,Northern,3.45,34.35,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kitgum,Northern,3.3,32.88,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Koboko,Northern,3.4,30.97,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kole,Northern,2.4,32.75,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kotido,Northern,2.98,34.13,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kwania,Northern,1.83,32.55,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Lamwo,Northern,3.55,32.75,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Lira,Northern,2.25,32.9,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Madi-Okollo,Northern,3.05,31.1,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Maracha,Northern,3.28,30.72,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Moroto,Northern,2.53,34.65,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Moyo,Northern,3.65,31.72,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Nabilatuk,Northern,2.2,34.65,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Nakapiripirit,Northern,1.9,34.75,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Napak,Northern,2.5,34.25,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Nebbi,Northern,2.48,31.1,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Nwoya,Northern,2.6,32.0,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Obongi,Northern,3.4,31.6,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Omoro,Northern,2.65,32.35,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Otuke,Northern,2.42,33.3,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Oyam,Northern,2.3,32.3,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Pader,Northern,2.9,33.1,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Pakwach,Northern,2.47,31.5,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Terego,Northern,3.1,30.95,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Yumbe,Northern,3.47,31.25,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Zombo,Northern,2.3,30.9,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Buhweju,Western,-0.3,30.3,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Buliisa,Western,1.85,31.35,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Bundibugyo,Western,0.7,30.05,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Bunyangabu,Western,0.55,30.3,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Bushenyi,Western,-0.53,30.2,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Hoima,Western,1.43,31.35,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Ibanda,Western,-0.15,30.55,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Isingiro,Western,-0.85,30.8,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kabale,Western,-1.25,29.98,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kabarole,Western,0.65,30.28,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kagadi,Western,0.93,30.82,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kakumiro,Western,0.9,31.2,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kamwenge,Western,0.2,30.55,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kanungu,Western,-0.9,29.78,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kasese,Western,0.18,30.08,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kazo,Western,-0.05,30.9,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kibaale,Western,0.8,31.05,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kikuube,Western,1.2,31.1,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kiruhura,Western,-0.2,30.8,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kiryandongo,Western,1.9,32.1,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kisoro,Western,-1.28,29.68,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kitagwenda,Western,0.1,30.55,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kyegegwa,Western,0.48,31.05,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Kyenjojo,Western,0.62,30.62,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Masindi,Western,1.68,31.72,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Mbarara,Western,-0.6,30.65,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Mitooma,Western,-0.68,30.05,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Ntoroko,Western,1.05,30.5,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Ntungamo,Western,-0.88,30.27,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Rubanda,Western,-1.15,29.8,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Rubirizi,Western,-0.28,30.1,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Rukiga,Western,-1.25,30.15,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Rukungiri,Western,-0.79,29.93,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Rwampara,Western,-0.65,30.55,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Sheema,Western,-0.55,30.35,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Arua City,Northern,3.03,30.91,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Entebbe City,Central,0.06,32.45,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Fort Portal City,Western,0.65,30.28,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Gulu City,Northern,2.78,32.28,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Hoima City,Western,1.43,31.35,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Jinja City,Eastern,0.47,33.18,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Lira City,Northern,2.25,32.9,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Masaka City,Central,-0.33,31.73,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Mbale City,Eastern,1.08,34.18,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
Mbarara City,Western,-0.6,30.65,"Approximate centroid (district town/headquarters location, compiled from general Uganda geography) - not survey-grade"
