District,Region,Year,Elevation_m,Data_Source
Buikwe,Central,2020,1170,"Estimated (regional topography pattern, no direct source found)"
Buikwe,Central,2021,1170,"Estimated (regional topography pattern, no direct source found)"
Buikwe,Central,2022,1170,"Estimated (regional topography pattern, no direct source found)"
Buikwe,Central,2023,1170,"Estimated (regional topography pattern, no direct source found)"
Buikwe,Central,2024,1170,"Estimated (regional topography pattern, no direct source found)"
Bukomansimbi,Central,2020,1300,"Estimated (regional topography pattern, no direct source found)"
Bukomansimbi,Central,2021,1300,"Estimated (regional topography pattern, no direct source found)"
Bukomansimbi,Central,2022,1300,"Estimated (regional topography pattern, no direct source found)"
Bukomansimbi,Central,2023,1300,"Estimated (regional topography pattern, no direct source found)"
Bukomansimbi,Central,2024,1300,"Estimated (regional topography pattern, no direct source found)"
Butambala,Central,2020,1200,"Estimated (regional topography pattern, no direct source found)"
Butambala,Central,2021,1200,"Estimated (regional topography pattern, no direct source found)"
Butambala,Central,2022,1200,"Estimated (regional topography pattern, no direct source found)"
Butambala,Central,2023,1200,"Estimated (regional topography pattern, no direct source found)"
Butambala,Central,2024,1200,"Estimated (regional topography pattern, no direct source found)"
Buvuma,Central,2020,1140,"Estimated (regional topography pattern, no direct source found)"
Buvuma,Central,2021,1140,"Estimated (regional topography pattern, no direct source found)"
Buvuma,Central,2022,1140,"Estimated (regional topography pattern, no direct source found)"
Buvuma,Central,2023,1140,"Estimated (regional topography pattern, no direct source found)"
Buvuma,Central,2024,1140,"Estimated (regional topography pattern, no direct source found)"
Gomba,Central,2020,1300,"Estimated (regional topography pattern, no direct source found)"
Gomba,Central,2021,1300,"Estimated (regional topography pattern, no direct source found)"
Gomba,Central,2022,1300,"Estimated (regional topography pattern, no direct source found)"
Gomba,Central,2023,1300,"Estimated (regional topography pattern, no direct source found)"
Gomba,Central,2024,1300,"Estimated (regional topography pattern, no direct source found)"
Kalangala,Central,2020,1160,"Estimated (regional topography pattern, no direct source found)"
Kalangala,Central,2021,1160,"Estimated (regional topography pattern, no direct source found)"
Kalangala,Central,2022,1160,"Estimated (regional topography pattern, no direct source found)"
Kalangala,Central,2023,1160,"Estimated (regional topography pattern, no direct source found)"
Kalangala,Central,2024,1160,"Estimated (regional topography pattern, no direct source found)"
Kalungu,Central,2020,1250,"Estimated (regional topography pattern, no direct source found)"
Kalungu,Central,2021,1250,"Estimated (regional topography pattern, no direct source found)"
Kalungu,Central,2022,1250,"Estimated (regional topography pattern, no direct source found)"
Kalungu,Central,2023,1250,"Estimated (regional topography pattern, no direct source found)"
Kalungu,Central,2024,1250,"Estimated (regional topography pattern, no direct source found)"
Kampala,Central,2020,1190,"Estimated (regional topography pattern, no direct source found)"
Kampala,Central,2021,1190,"Estimated (regional topography pattern, no direct source found)"
Kampala,Central,2022,1190,"Estimated (regional topography pattern, no direct source found)"
Kampala,Central,2023,1190,"Estimated (regional topography pattern, no direct source found)"
Kampala,Central,2024,1190,"Estimated (regional topography pattern, no direct source found)"
Kasanda,Central,2020,1280,"Estimated (regional topography pattern, no direct source found)"
Kasanda,Central,2021,1280,"Estimated (regional topography pattern, no direct source found)"
Kasanda,Central,2022,1280,"Estimated (regional topography pattern, no direct source found)"
Kasanda,Central,2023,1280,"Estimated (regional topography pattern, no direct source found)"
Kasanda,Central,2024,1280,"Estimated (regional topography pattern, no direct source found)"
Kayunga,Central,2020,1130,"Estimated (regional topography pattern, no direct source found)"
Kayunga,Central,2021,1130,"Estimated (regional topography pattern, no direct source found)"
Kayunga,Central,2022,1130,"Estimated (regional topography pattern, no direct source found)"
Kayunga,Central,2023,1130,"Estimated (regional topography pattern, no direct source found)"
Kayunga,Central,2024,1130,"Estimated (regional topography pattern, no direct source found)"
Kiboga,Central,2020,1600,Confirmed (Wikipedia district/town infobox)
Kiboga,Central,2021,1600,Confirmed (Wikipedia district/town infobox)
Kiboga,Central,2022,1600,Confirmed (Wikipedia district/town infobox)
Kiboga,Central,2023,1600,Confirmed (Wikipedia district/town infobox)
Kiboga,Central,2024,1600,Confirmed (Wikipedia district/town infobox)
Kyankwanzi,Central,2020,1350,"Estimated (regional topography pattern, no direct source found)"
Kyankwanzi,Central,2021,1350,"Estimated (regional topography pattern, no direct source found)"
Kyankwanzi,Central,2022,1350,"Estimated (regional topography pattern, no direct source found)"
Kyankwanzi,Central,2023,1350,"Estimated (regional topography pattern, no direct source found)"
Kyankwanzi,Central,2024,1350,"Estimated (regional topography pattern, no direct source found)"
Kyotera,Central,2020,1250,"Estimated (regional topography pattern, no direct source found)"
Kyotera,Central,2021,1250,"Estimated (regional topography pattern, no direct source found)"
Kyotera,Central,2022,1250,"Estimated (regional topography pattern, no direct source found)"
Kyotera,Central,2023,1250,"Estimated (regional topography pattern, no direct source found)"
Kyotera,Central,2024,1250,"Estimated (regional topography pattern, no direct source found)"
Luweero,Central,2020,1250,"Estimated (regional topography pattern, no direct source found)"
Luweero,Central,2021,1250,"Estimated (regional topography pattern, no direct source found)"
Luweero,Central,2022,1250,"Estimated (regional topography pattern, no direct source found)"
Luweero,Central,2023,1250,"Estimated (regional topography pattern, no direct source found)"
Luweero,Central,2024,1250,"Estimated (regional topography pattern, no direct source found)"
Lwengo,Central,2020,1300,"Estimated (regional topography pattern, no direct source found)"
Lwengo,Central,2021,1300,"Estimated (regional topography pattern, no direct source found)"
Lwengo,Central,2022,1300,"Estimated (regional topography pattern, no direct source found)"
Lwengo,Central,2023,1300,"Estimated (regional topography pattern, no direct source found)"
Lwengo,Central,2024,1300,"Estimated (regional topography pattern, no direct source found)"
