District,Region,Reference_Station,EVI_2020,EVI_2021,EVI_2022,EVI_2023,EVI_2024,Avg_EVI_2020_2024
Buikwe,Central,Entebbe,0.679,0.637,0.648,0.629,0.601,0.639
Bukomansimbi,Central,Mbarara,0.388,0.393,0.411,0.424,0.431,0.409
Butambala,Central,Kampala,0.525,0.548,0.565,0.564,0.555,0.551
Buvuma,Central,Entebbe,0.631,0.626,0.643,0.641,0.631,0.634
Gomba,Central,Mubende,0.4,0.387,0.393,0.388,0.442,0.402
Kalangala,Central,Entebbe,0.606,0.627,0.603,0.574,0.592,0.6
Kalungu,Central,Mbarara,0.419,0.439,0.396,0.402,0.38,0.407
Kampala,Central,Kampala,0.21,0.224,0.22,0.237,0.24,0.226
Kasanda,Central,Mubende,0.463,0.456,0.471,0.475,0.491,0.471
Kayunga,Central,Kampala,0.654,0.626,0.627,0.63,0.652,0.638
Kiboga,Central,Mubende,0.478,0.492,0.5,0.472,0.481,0.485
Kyankwanzi,Central,Mubende,0.432,0.457,0.44,0.476,0.458,0.453
Kyotera,Central,Mbarara,0.403,0.421,0.396,0.396,0.459,0.415
Luweero,Central,Kampala,0.596,0.594,0.584,0.606,0.586,0.593
Lwengo,Central,Mbarara,0.387,0.344,0.399,0.387,0.367,0.377
Lyantonde,Central,Mbarara,0.391,0.393,0.378,0.42,0.419,0.4
Masaka,Central,Mbarara,0.4,0.41,0.391,0.42,0.479,0.42
Mityana,Central,Mubende,0.514,0.511,0.505,0.504,0.51,0.509
Mpigi,Central,Kampala,0.478,0.509,0.535,0.562,0.544,0.526
Mubende,Central,Mubende,0.43,0.425,0.486,0.493,0.441,0.455
Mukono,Central,Entebbe,0.635,0.618,0.62,0.598,0.604,0.615
Nakaseke,Central,Kampala,0.482,0.499,0.546,0.562,0.528,0.523
Nakasongola,Central,Kampala,0.514,0.526,0.561,0.565,0.547,0.543
Rakai,Central,Mbarara,0.537,0.53,0.481,0.467,0.468,0.497
Sembabule,Central,Mbarara,0.432,0.428,0.438,0.463,0.418,0.436
Wakiso,Central,Kampala,0.322,0.311,0.279,0.26,0.314,0.297
Amuria,Eastern,Soroti,0.575,0.574,0.531,0.521,0.493,0.539
Budaka,Eastern,Tororo,0.52,0.511,0.492,0.477,0.465,0.493
Bududa,Eastern,Buginyanya,0.659,0.639,0.629,0.644,0.641,0.642
Bugiri,Eastern,Jinja,0.521,0.532,0.55,0.556,0.521,0.536
Bugweri,Eastern,Jinja,0.492,0.448,0.449,0.459,0.482,0.466
Bukedea,Eastern,Soroti,0.527,0.489,0.528,0.503,0.521,0.514
Bukwo,Eastern,Buginyanya,0.605,0.653,0.624,0.664,0.679,0.645
Bulambuli,Eastern,Buginyanya,0.693,0.692,0.673,0.657,0.687,0.68
Busia,Eastern,Tororo,0.537,0.526,0.514,0.513,0.494,0.517
Butaleja,Eastern,Tororo,0.496,0.506,0.508,0.527,0.515,0.51
Butebo,Eastern,Tororo,0.504,0.5,0.536,0.536,0.538,0.523
Buyende,Eastern,Jinja,0.493,0.523,0.542,0.539,0.514,0.522
Iganga,Eastern,Jinja,0.449,0.474,0.465,0.49,0.524,0.48
Jinja,Eastern,Jinja,0.57,0.615,0.647,0.618,0.59,0.608
Kaberamaido,Eastern,Soroti,0.444,0.447,0.475,0.499,0.476,0.468
Kalaki,Eastern,Soroti,0.494,0.454,0.455,0.478,0.464,0.469
Kaliro,Eastern,Jinja,0.497,0.475,0.479,0.492,0.5,0.489
Kamuli,Eastern,Jinja,0.498,0.492,0.509,0.489,0.472,0.492
Kapchorwa,Eastern,Buginyanya,0.693,0.66,0.641,0.674,0.672,0.668
Kapelebyong,Eastern,Soroti,0.469,0.488,0.536,0.562,0.519,0.515
Katakwi,Eastern,Soroti,0.451,0.47,0.47,0.44,0.48,0.462
Kibuku,Eastern,Tororo,0.537,0.528,0.479,0.48,0.507,0.506
Kumi,Eastern,Soroti,0.485,0.49,0.497,0.529,0.532,0.507
Kween,Eastern,Buginyanya,0.639,0.637,0.653,0.643,0.686,0.652
Luuka,Eastern,Jinja,0.498,0.499,0.508,0.489,0.509,0.501
Manafwa,Eastern,Buginyanya,0.66,0.645,0.637,0.616,0.611,0.634
Mayuge,Eastern,Jinja,0.501,0.478,0.474,0.473,0.481,0.481
Mbale,Eastern,Buginyanya,0.642,0.646,0.662,0.69,0.68,0.664
Namayingo,Eastern,Tororo,0.567,0.531,0.518,0.504,0.521,0.528
Namisindwa,Eastern,Buginyanya,0.667,0.651,0.643,0.621,0.626,0.642
Namutumba,Eastern,Jinja,0.461,0.467,0.502,0.504,0.504,0.488
Ngora,Eastern,Soroti,0.516,0.49,0.508,0.502,0.491,0.501
Pallisa,Eastern,Tororo,0.559,0.545,0.507,0.563,0.535,0.542
Serere,Eastern,Soroti,0.469,0.442,0.451,0.466,0.453,0.456
Sironko,Eastern,Buginyanya,0.688,0.691,0.708,0.67,0.67,0.685
Soroti,Eastern,Soroti,0.463,0.442,0.417,0.461,0.467,0.45
Tororo,Eastern,Tororo,0.608,0.544,0.554,0.559,0.542,0.561
Abim,Northern,Kotido,0.344,0.351,0.312,0.347,0.334,0.338
Adjumani,Northern,Wadelai,0.425,0.443,0.402,0.408,0.384,0.412
Agago,Northern,Kitgum,0.381,0.412,0.46,0.462,0.455,0.434
Alebtong,Northern,Lira,0.508,0.496,0.498,0.526,0.527,0.511
Amolatar,Northern,Lira,0.517,0.509,0.496,0.512,0.472,0.501
Amudat,Northern,Kotido,0.307,0.318,0.34,0.306,0.345,0.323
Amuru,Northern,Gulu,0.499,0.498,0.536,0.472,0.486,0.498
Apac,Northern,Lira,0.502,0.535,0.536,0.529,0.512,0.523
Arua,Northern,Arua,0.519,0.514,0.501,0.514,0.466,0.503
Dokolo,Northern,Lira,0.534,0.541,0.487,0.478,0.487,0.505
Gulu,Northern,Gulu,0.527,0.502,0.528,0.517,0.523,0.519
Kaabong,Northern,Kotido,0.327,0.295,0.32,0.293,0.312,0.309
Karenga,Northern,Kotido,0.393,0.393,0.345,0.389,0.343,0.373
Kitgum,Northern,Kitgum,0.483,0.515,0.504,0.521,0.466,0.498
Koboko,Northern,Arua,0.561,0.553,0.547,0.558,0.584,0.561
Kole,Northern,Lira,0.552,0.535,0.551,0.564,0.548,0.55
Kotido,Northern,Kotido,0.343,0.282,0.269,0.308,0.293,0.299
Kwania,Northern,Lira,0.545,0.551,0.514,0.495,0.506,0.522
Lamwo,Northern,Kitgum,0.51,0.522,0.51,0.51,0.488,0.508
Lira,Northern,Lira,0.506,0.492,0.532,0.561,0.52,0.522
Madi-Okollo,Northern,Arua,0.519,0.487,0.512,0.48,0.524,0.504
