District,Region,IRS_Coverage_2020_pct,IRS_Data_Type_2020,IRS_Coverage_2021_pct,IRS_Data_Type_2021,IRS_Coverage_2022_pct,IRS_Data_Type_2022,IRS_Coverage_2023_pct,IRS_Data_Type_2023,IRS_Coverage_2024_pct,IRS_Data_Type_2024,Avg_Coverage_2020_2024_pct,Data_Source
Buikwe,Central,6.7,Estimated (background/local coverage),8.0,Estimated (background/local coverage),7.7,Estimated (background/local coverage),10.3,Estimated (background/local coverage),10.0,Estimated (background/local coverage),8.5,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Bukomansimbi,Central,9.1,Estimated (background/local coverage),10.7,Estimated (background/local coverage),8.8,Estimated (background/local coverage),9.7,Estimated (background/local coverage),11.2,Estimated (background/local coverage),9.9,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Butambala,Central,2.7,Estimated (background/local coverage),5.0,Estimated (background/local coverage),4.4,Estimated (background/local coverage),2.8,Estimated (background/local coverage),4.7,Estimated (background/local coverage),3.9,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Buvuma,Central,8.0,Estimated (background/local coverage),12.0,Estimated (background/local coverage),11.5,Estimated (background/local coverage),9.7,Estimated (background/local coverage),8.8,Estimated (background/local coverage),10.0,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Gomba,Central,10.8,Estimated (background/local coverage),9.6,Estimated (background/local coverage),9.6,Estimated (background/local coverage),13.4,Estimated (background/local coverage),12.2,Estimated (background/local coverage),11.1,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kalangala,Central,11.6,Estimated (background/local coverage),10.6,Estimated (background/local coverage),12.8,Estimated (background/local coverage),9.8,Estimated (background/local coverage),10.7,Estimated (background/local coverage),11.1,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kalungu,Central,11.2,Estimated (background/local coverage),12.4,Estimated (background/local coverage),11.0,Estimated (background/local coverage),11.7,Estimated (background/local coverage),8.4,Estimated (background/local coverage),10.9,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kampala,Central,2.3,Estimated (background/local coverage),1.3,Estimated (background/local coverage),2.0,Estimated (background/local coverage),1.4,Estimated (background/local coverage),2.3,Estimated (background/local coverage),1.9,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kasanda,Central,8.4,Estimated (background/local coverage),8.4,Estimated (background/local coverage),7.6,Estimated (background/local coverage),7.9,Estimated (background/local coverage),11.3,Estimated (background/local coverage),8.7,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kayunga,Central,9.7,Estimated (background/local coverage),7.5,Estimated (background/local coverage),10.3,Estimated (background/local coverage),7.5,Estimated (background/local coverage),8.6,Estimated (background/local coverage),8.7,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
