District,Region,Reference_Station,NDVI_2020,NDVI_2021,NDVI_2022,NDVI_2023,NDVI_2024,Avg_NDVI_2020_2024
Buikwe,Central,Entebbe,0.774,0.784,0.796,0.758,0.732,0.769
Bukomansimbi,Central,Mbarara,0.509,0.535,0.56,0.536,0.504,0.529
Butambala,Central,Kampala,0.687,0.697,0.739,0.748,0.732,0.721
Buvuma,Central,Entebbe,0.795,0.849,0.819,0.794,0.742,0.8
Gomba,Central,Mubende,0.501,0.543,0.55,0.552,0.591,0.547
Kalangala,Central,Entebbe,0.741,0.79,0.756,0.718,0.773,0.756
Kalungu,Central,Mbarara,0.537,0.568,0.528,0.509,0.498,0.528
Kampala,Central,Kampala,0.424,0.488,0.453,0.453,0.41,0.446
Kasanda,Central,Mubende,0.592,0.616,0.614,0.611,0.618,0.61
Kayunga,Central,Kampala,0.78,0.801,0.784,0.809,0.785,0.792
Kiboga,Central,Mubende,0.631,0.618,0.655,0.643,0.647,0.639
Kyankwanzi,Central,Mubende,0.541,0.607,0.633,0.65,0.606,0.607
Kyotera,Central,Mbarara,0.579,0.602,0.596,0.58,0.607,0.593
Luweero,Central,Kampala,0.728,0.73,0.729,0.728,0.712,0.725
Lwengo,Central,Mbarara,0.518,0.51,0.538,0.605,0.606,0.555
Lyantonde,Central,Mbarara,0.52,0.509,0.514,0.54,0.548,0.526
Masaka,Central,Mbarara,0.511,0.514,0.503,0.573,0.581,0.536
Mityana,Central,Mubende,0.707,0.672,0.626,0.698,0.696,0.68
Mpigi,Central,Kampala,0.674,0.712,0.719,0.702,0.65,0.691
Mubende,Central,Mubende,0.572,0.608,0.622,0.608,0.615,0.605
Mukono,Central,Entebbe,0.785,0.788,0.801,0.792,0.76,0.785
Nakaseke,Central,Kampala,0.642,0.686,0.714,0.748,0.714,0.701
Nakasongola,Central,Kampala,0.72,0.733,0.723,0.674,0.713,0.713
Rakai,Central,Mbarara,0.683,0.673,0.599,0.567,0.611,0.627
Sembabule,Central,Mbarara,0.597,0.578,0.574,0.573,0.538,0.572
Wakiso,Central,Kampala,0.536,0.504,0.44,0.484,0.52,0.497
Amuria,Eastern,Soroti,0.73,0.679,0.61,0.586,0.572,0.635
Budaka,Eastern,Tororo,0.654,0.678,0.613,0.624,0.647,0.643
Bududa,Eastern,Buginyanya,0.793,0.799,0.808,0.821,0.801,0.804
Bugiri,Eastern,Jinja,0.625,0.609,0.689,0.706,0.689,0.664
Bugweri,Eastern,Jinja,0.634,0.598,0.618,0.637,0.691,0.636
Bukedea,Eastern,Soroti,0.671,0.632,0.603,0.656,0.662,0.645
Bukwo,Eastern,Buginyanya,0.768,0.788,0.762,0.851,0.848,0.803
Bulambuli,Eastern,Buginyanya,0.811,0.802,0.758,0.776,0.757,0.781
Busia,Eastern,Tororo,0.724,0.672,0.678,0.674,0.685,0.687
Butaleja,Eastern,Tororo,0.658,0.642,0.699,0.701,0.69,0.678
Butebo,Eastern,Tororo,0.617,0.65,0.65,0.671,0.721,0.662
Buyende,Eastern,Jinja,0.619,0.669,0.657,0.629,0.589,0.633
Iganga,Eastern,Jinja,0.615,0.595,0.588,0.649,0.672,0.624
Jinja,Eastern,Jinja,0.706,0.738,0.708,0.677,0.689,0.704
Kaberamaido,Eastern,Soroti,0.532,0.561,0.584,0.603,0.661,0.588
Kalaki,Eastern,Soroti,0.638,0.62,0.64,0.626,0.653,0.635
Kaliro,Eastern,Jinja,0.676,0.618,0.602,0.642,0.639,0.635
Kamuli,Eastern,Jinja,0.672,0.68,0.678,0.669,0.631,0.666
Kapchorwa,Eastern,Buginyanya,0.814,0.794,0.782,0.782,0.806,0.796
Kapelebyong,Eastern,Soroti,0.679,0.711,0.661,0.62,0.622,0.659
Katakwi,Eastern,Soroti,0.563,0.597,0.59,0.627,0.628,0.601
Kibuku,Eastern,Tororo,0.705,0.696,0.652,0.661,0.715,0.686
Kumi,Eastern,Soroti,0.645,0.637,0.679,0.686,0.674,0.664
Kween,Eastern,Buginyanya,0.796,0.791,0.77,0.772,0.819,0.79
Luuka,Eastern,Jinja,0.67,0.647,0.645,0.675,0.635,0.654
Manafwa,Eastern,Buginyanya,0.787,0.797,0.803,0.787,0.778,0.79
Mayuge,Eastern,Jinja,0.61,0.594,0.629,0.595,0.605,0.607
Mbale,Eastern,Buginyanya,0.788,0.782,0.793,0.819,0.811,0.799
Namayingo,Eastern,Tororo,0.704,0.666,0.68,0.718,0.711,0.696
Namisindwa,Eastern,Buginyanya,0.777,0.763,0.759,0.752,0.798,0.77
Namutumba,Eastern,Jinja,0.614,0.621,0.652,0.635,0.617,0.628
Ngora,Eastern,Soroti,0.647,0.626,0.611,0.638,0.697,0.644
Pallisa,Eastern,Tororo,0.746,0.705,0.708,0.696,0.672,0.705
Serere,Eastern,Soroti,0.584,0.599,0.584,0.606,0.607,0.596
