District,Region,UDHS_Subregion,ITN_Net_Usage_2020_pct,Poor_Housing_2020_pct,Lack_Maternal_Education_2020_pct,ITN_Net_Usage_2021_pct,Poor_Housing_2021_pct,Lack_Maternal_Education_2021_pct,ITN_Net_Usage_2022_pct,Poor_Housing_2022_pct,Lack_Maternal_Education_2022_pct,ITN_Net_Usage_2023_pct,Poor_Housing_2023_pct,Lack_Maternal_Education_2023_pct,ITN_Net_Usage_2024_pct,Poor_Housing_2024_pct,Lack_Maternal_Education_2024_pct,Avg_ITN_Usage_pct,Avg_Poor_Housing_pct,Avg_Lack_Maternal_Education_pct,Data_Source
Buikwe,Central,North Central,51.2,23.3,7.7,62.7,22.0,5.8,53.8,22.8,6.7,53.5,19.6,5.8,48.0,19.7,6.4,53.8,21.5,6.5,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Bukomansimbi,Central,South Central,53.4,19.1,2.3,55.5,18.5,1.5,56.0,16.8,1.3,52.8,17.9,1.9,47.8,16.1,1.0,53.1,17.7,1.6,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Butambala,Central,South Central,54.8,20.5,4.0,55.3,17.2,4.6,56.0,17.3,5.1,52.7,15.2,3.9,47.9,16.3,2.1,53.3,17.3,3.9,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Buvuma,Central,North Central,56.9,24.8,7.6,57.7,22.8,4.4,58.7,22.6,5.3,54.0,22.4,3.4,49.1,21.5,3.9,55.3,22.8,4.9,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Gomba,Central,South Central,52.1,15.3,8.3,59.6,14.9,7.8,55.5,12.1,6.8,47.0,11.7,5.8,43.4,10.1,3.7,51.5,12.8,6.5,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Kalangala,Central,South Central,54.9,16.8,2.1,56.4,13.4,3.1,53.9,13.2,0.6,49.2,12.5,0.5,49.3,12.7,0.5,52.7,13.7,1.4,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Kalungu,Central,South Central,49.6,19.6,5.1,55.1,18.2,4.6,51.8,16.6,4.6,47.4,17.3,3.3,48.7,14.1,4.0,50.5,17.2,4.3,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Kampala,Central,Kampala,40.1,8.6,1.7,43.5,7.9,1.8,44.0,5.1,1.6,40.9,6.4,0.5,38.1,3.7,0.7,41.3,6.3,1.3,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Kasanda,Central,North Central,56.2,22.2,7.6,59.3,20.8,7.2,57.3,20.4,5.9,52.0,18.7,5.4,49.2,18.4,4.6,54.8,20.1,6.1,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Kayunga,Central,North Central,51.1,19.6,5.5,61.3,20.4,4.1,56.3,17.8,3.5,52.4,17.4,3.3,49.9,17.7,1.0,54.2,18.6,3.5,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
