District,Region,UDHS_Subregion,Year,ITN_Net_Usage_pct,Poor_Housing_pct,Lack_Maternal_Education_pct
Buikwe,Central,North Central,2020,51.2,23.3,7.7
Buikwe,Central,North Central,2021,62.7,22.0,5.8
Buikwe,Central,North Central,2022,53.8,22.8,6.7
Buikwe,Central,North Central,2023,53.5,19.6,5.8
Buikwe,Central,North Central,2024,48.0,19.7,6.4
Bukomansimbi,Central,South Central,2020,53.4,19.1,2.3
Bukomansimbi,Central,South Central,2021,55.5,18.5,1.5
Bukomansimbi,Central,South Central,2022,56.0,16.8,1.3
Bukomansimbi,Central,South Central,2023,52.8,17.9,1.9
Bukomansimbi,Central,South Central,2024,47.8,16.1,1.0
Butambala,Central,South Central,2020,54.8,20.5,4.0
Butambala,Central,South Central,2021,55.3,17.2,4.6
Butambala,Central,South Central,2022,56.0,17.3,5.1
Butambala,Central,South Central,2023,52.7,15.2,3.9
Butambala,Central,South Central,2024,47.9,16.3,2.1
Buvuma,Central,North Central,2020,56.9,24.8,7.6
Buvuma,Central,North Central,2021,57.7,22.8,4.4
Buvuma,Central,North Central,2022,58.7,22.6,5.3
Buvuma,Central,North Central,2023,54.0,22.4,3.4
Buvuma,Central,North Central,2024,49.1,21.5,3.9
Gomba,Central,South Central,2020,52.1,15.3,8.3
Gomba,Central,South Central,2021,59.6,14.9,7.8
Gomba,Central,South Central,2022,55.5,12.1,6.8
Gomba,Central,South Central,2023,47.0,11.7,5.8
Gomba,Central,South Central,2024,43.4,10.1,3.7
Kalangala,Central,South Central,2020,54.9,16.8,2.1
Kalangala,Central,South Central,2021,56.4,13.4,3.1
Kalangala,Central,South Central,2022,53.9,13.2,0.6
Kalangala,Central,South Central,2023,49.2,12.5,0.5
Kalangala,Central,South Central,2024,49.3,12.7,0.5
Kalungu,Central,South Central,2020,49.6,19.6,5.1
Kalungu,Central,South Central,2021,55.1,18.2,4.6
Kalungu,Central,South Central,2022,51.8,16.6,4.6
Kalungu,Central,South Central,2023,47.4,17.3,3.3
Kalungu,Central,South Central,2024,48.7,14.1,4.0
Kampala,Central,Kampala,2020,40.1,8.6,1.7
Kampala,Central,Kampala,2021,43.5,7.9,1.8
Kampala,Central,Kampala,2022,44.0,5.1,1.6
Kampala,Central,Kampala,2023,40.9,6.4,0.5
Kampala,Central,Kampala,2024,38.1,3.7,0.7
Kasanda,Central,North Central,2020,56.2,22.2,7.6
Kasanda,Central,North Central,2021,59.3,20.8,7.2
Kasanda,Central,North Central,2022,57.3,20.4,5.9
Kasanda,Central,North Central,2023,52.0,18.7,5.4
Kasanda,Central,North Central,2024,49.2,18.4,4.6
Kayunga,Central,North Central,2020,51.1,19.6,5.5
Kayunga,Central,North Central,2021,61.3,20.4,4.1
Kayunga,Central,North Central,2022,56.3,17.8,3.5
Kayunga,Central,North Central,2023,52.4,17.4,3.3
Kayunga,Central,North Central,2024,49.9,17.7,1.0
Kiboga,Central,North Central,2020,56.1,19.6,8.5
Kiboga,Central,North Central,2021,57.3,21.0,9.8
Kiboga,Central,North Central,2022,57.3,17.3,7.5
Kiboga,Central,North Central,2023,49.5,17.7,8.1
Kiboga,Central,North Central,2024,47.4,17.0,8.1
Kyankwanzi,Central,North Central,2020,55.9,25.9,5.1
Kyankwanzi,Central,North Central,2021,60.3,22.6,4.7
Kyankwanzi,Central,North Central,2022,56.8,21.4,4.2
Kyankwanzi,Central,North Central,2023,49.0,20.5,4.0
Kyankwanzi,Central,North Central,2024,48.3,21.7,2.6
Kyotera,Central,South Central,2020,51.5,20.6,6.1
Kyotera,Central,South Central,2021,59.0,20.6,6.0
Kyotera,Central,South Central,2022,54.3,18.0,4.7
Kyotera,Central,South Central,2023,48.1,17.9,5.3
Kyotera,Central,South Central,2024,47.6,17.1,5.9
Luweero,Central,North Central,2020,52.4,20.6,6.9
Luweero,Central,North Central,2021,57.9,20.8,7.4
Luweero,Central,North Central,2022,56.8,17.7,7.7
Luweero,Central,North Central,2023,53.6,17.8,5.5
Luweero,Central,North Central,2024,48.2,15.8,5.4
Lwengo,Central,South Central,2020,52.9,17.1,2.7
