District,Region,Source_District_Match,Major_Water_Bodies_Reference,Has_Wetland,Has_Lake,Has_River,Source_Notes_Changes,Proximity_Score_2020,Proximity_Category_2020,Est_Distance_km_2020,Proximity_Score_2021,Proximity_Category_2021,Est_Distance_km_2021,Proximity_Score_2022,Proximity_Category_2022,Est_Distance_km_2022,Proximity_Score_2023,Proximity_Category_2023,Est_Distance_km_2023,Proximity_Score_2024,Proximity_Category_2024,Est_Distance_km_2024,Avg_Proximity_Score_2020_2024,Data_Source_Note
Buikwe,Central,Buikwe,Lake Victoria (Ssese Islands area); Sezibwa River,0,1,1,Stable; buffer zone demarcation (2020).,0.247,Far (>25 km),27.7,0.262,Far (>25 km),28.5,0.252,Far (>25 km),27.5,0.256,Far (>25 km),28.9,0.253,Far (>25 km),29.0,0.254,
Bukomansimbi,Central,Bukomansimbi,Katonga River; Lake Wamala fringes,0,1,1,Stable; restoration efforts (2021).,0.693,Near (2-10 km),10.8,0.768,"Very Near (Adjacent, 0-2 km)",8.7,0.683,Near (2-10 km),13.2,0.67,Near (2-10 km),11.4,0.704,Near (2-10 km),11.0,0.704,
Butambala,Central,Butambala,Katonga River; Lake Wamala,0,1,1,Stable; wetland restoration (2022).,0.675,Near (2-10 km),11.9,0.681,Near (2-10 km),13.2,0.755,"Very Near (Adjacent, 0-2 km)",8.6,0.69,Near (2-10 km),11.9,0.705,Near (2-10 km),12.0,0.701,
Buvuma,Central,Buvuma,Lake Victoria (Buvuma Islands),0,1,0,Stable; island ecosystem monitoring.,0.178,Far (>25 km),30.5,0.197,Far (>25 km),31.7,0.165,Far (>25 km),32.3,0.198,Far (>25 km),30.8,0.172,Far (>25 km),32.2,0.182,
Gomba,Central,Gomba,Katonga River; Lake Wamala fringes,0,1,1,Stable.,0.696,Near (2-10 km),10.8,0.692,Near (2-10 km),11.0,0.668,Near (2-10 km),12.2,0.68,Near (2-10 km),11.9,0.693,Near (2-10 km),12.5,0.686,
Kalangala,Central,Kalangala,Lake Victoria (Ssese Islands),0,1,0,Stable; fishing community monitoring.,0.202,Far (>25 km),31.5,0.203,Far (>25 km),31.0,0.176,Far (>25 km),30.5,0.188,Far (>25 km),31.0,0.19,Far (>25 km),29.8,0.192,
Kalungu,Central,Kalungu,Katonga River,0,0,1,Stable.,0.071,Far (>25 km),36.3,0.087,Far (>25 km),35.2,0.067,Far (>25 km),35.2,0.1,Far (>25 km),34.6,0.103,Far (>25 km),33.4,0.086,
Kampala,Central,Wakiso,Lake Victoria,0,1,0,Stable; urban pressure (2020-2024).,0.082,Far (>25 km),35.6,0.081,Far (>25 km),35.6,0.086,Far (>25 km),33.8,0.067,Far (>25 km),36.6,0.068,Far (>25 km),34.7,0.077,Proxy from Wakiso (nearest/parent district; no direct record for Kampala)
Kasanda,Central,Mubende,Katonga River; minor wetlands,1,0,1,Stable.,0.81,"Very Near (Adjacent, 0-2 km)",7.7,0.831,"Very Near (Adjacent, 0-2 km)",6.4,0.817,"Very Near (Adjacent, 0-2 km)",7.6,0.808,"Very Near (Adjacent, 0-2 km)",7.0,0.821,"Very Near (Adjacent, 0-2 km)",7.1,0.817,Proxy from Mubende (nearest/parent district; no direct record for Kasanda)
Kayunga,Central,Kayunga,Nile River (Sezibwa confluence); Lake Kyoga,0,1,1,Stable.,0.248,Far (>25 km),27.6,0.252,Far (>25 km),29.0,0.274,Far (>25 km),28.7,0.277,Far (>25 km),26.9,0.277,Far (>25 km),28.6,0.266,
Kiboga,Central,Kiboga,Minor rivers; Lake Wamala fringes,0,1,1,Stable.,0.681,Near (2-10 km),10.9,0.682,Near (2-10 km),11.6,0.674,Near (2-10 km),11.3,0.672,Near (2-10 km),13.3,0.669,Near (2-10 km),12.9,0.676,
Kyankwanzi,Central,Mubende,Katonga River; minor wetlands,1,0,1,Stable.,0.805,"Very Near (Adjacent, 0-2 km)",6.7,0.829,"Very Near (Adjacent, 0-2 km)",6.0,0.804,"Very Near (Adjacent, 0-2 km)",7.3,0.824,"Very Near (Adjacent, 0-2 km)",6.7,0.831,"Very Near (Adjacent, 0-2 km)",6.2,0.819,Proxy from Mubende (nearest/parent district; no direct record for Kyankwanzi)
Kyotera,Central,Kyotera,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.818,"Very Near (Adjacent, 0-2 km)",7.4,0.815,"Very Near (Adjacent, 0-2 km)",7.6,0.815,"Very Near (Adjacent, 0-2 km)",6.2,0.802,"Very Near (Adjacent, 0-2 km)",8.2,0.826,"Very Near (Adjacent, 0-2 km)",7.7,0.815,
Luweero,Central,Luwero,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.824,"Very Near (Adjacent, 0-2 km)",6.9,0.803,"Very Near (Adjacent, 0-2 km)",8.3,0.801,"Very Near (Adjacent, 0-2 km)",7.4,0.802,"Very Near (Adjacent, 0-2 km)",7.2,0.809,"Very Near (Adjacent, 0-2 km)",7.1,0.808,
Lwengo,Central,Lwengo,Katonga River,0,0,1,Stable.,0.092,Far (>25 km),34.6,0.073,Far (>25 km),35.9,0.093,Far (>25 km),35.3,0.065,Far (>25 km),35.8,0.099,Far (>25 km),33.7,0.084,
Lyantonde,Central,Lyantonde,Minor seasonal rivers,0,0,1,Stable.,0.071,Far (>25 km),36.1,0.078,Far (>25 km),34.8,0.096,Far (>25 km),34.1,0.071,Far (>25 km),34.6,0.077,Far (>25 km),35.5,0.079,
Masaka,Central,Masaka,Lake Victoria (fringes); Koki Lakes,0,1,0,Stable; wetland restoration (2020).,0.678,Near (2-10 km),12.9,0.586,Near (2-10 km),15.1,0.608,Near (2-10 km),14.8,0.603,Near (2-10 km),16.1,0.594,Near (2-10 km),14.7,0.614,
Mityana,Central,Mubende,Katonga River; minor wetlands,1,0,1,Stable.,0.798,"Very Near (Adjacent, 0-2 km)",7.6,0.809,"Very Near (Adjacent, 0-2 km)",7.2,0.797,"Very Near (Adjacent, 0-2 km)",6.5,0.812,"Very Near (Adjacent, 0-2 km)",7.8,0.809,"Very Near (Adjacent, 0-2 km)",8.2,0.805,Proxy from Mubende (nearest/parent district; no direct record for Mityana)
Mpigi,Central,Mpigi,Sezibwa River; Lake Victoria fringes,0,1,1,Stable.,0.69,Near (2-10 km),11.5,0.698,Near (2-10 km),10.8,0.691,Near (2-10 km),12.6,0.688,Near (2-10 km),11.4,0.671,Near (2-10 km),12.7,0.688,
Mubende,Central,Mubende,Katonga River; minor wetlands,1,0,1,Stable.,0.804,"Very Near (Adjacent, 0-2 km)",7.1,0.818,"Very Near (Adjacent, 0-2 km)",8.0,0.824,"Very Near (Adjacent, 0-2 km)",6.7,0.831,"Very Near (Adjacent, 0-2 km)",6.0,0.812,"Very Near (Adjacent, 0-2 km)",7.6,0.818,
Mukono,Central,Mukono,Lake Victoria; Sezibwa River,0,1,1,Stable; Katosi intake monitoring.,0.269,Far (>25 km),27.1,0.263,Far (>25 km),28.8,0.256,Far (>25 km),28.8,0.249,Far (>25 km),29.6,0.274,Far (>25 km),27.2,0.262,
Nakaseke,Central,Nakaseke,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.836,"Very Near (Adjacent, 0-2 km)",6.9,0.799,"Very Near (Adjacent, 0-2 km)",7.0,0.816,"Very Near (Adjacent, 0-2 km)",8.2,0.802,"Very Near (Adjacent, 0-2 km)",6.4,0.809,"Very Near (Adjacent, 0-2 km)",6.2,0.812,
Nakasongola,Central,Nakasongola,Minor rivers; Lake Kyoga fringes,0,1,1,Stable.,0.683,Near (2-10 km),12.1,0.684,Near (2-10 km),11.1,0.668,Near (2-10 km),13.3,0.684,Near (2-10 km),12.0,0.686,Near (2-10 km),12.4,0.681,
Rakai,Central,Rakai,Katonga River,0,0,1,Stable.,0.099,Far (>25 km),35.0,0.092,Far (>25 km),34.1,0.07,Far (>25 km),34.4,0.098,Far (>25 km),33.2,0.086,Far (>25 km),35.7,0.089,
Sembabule,Central,Sembabule,Katonga River,0,0,1,Stable.,0.076,Far (>25 km),34.8,0.08,Far (>25 km),36.0,0.091,Far (>25 km),35.4,0.065,Far (>25 km),36.1,0.081,Far (>25 km),34.7,0.079,
Wakiso,Central,Wakiso,Lake Victoria,0,1,0,Stable; urban pressure (2020-2024).,0.096,Far (>25 km),34.9,0.1,Far (>25 km),34.8,0.1,Far (>25 km),34.0,0.086,Far (>25 km),35.4,0.081,Far (>25 km),34.1,0.093,
Amuria,Eastern,Amuria,Minor rivers; seasonal wetlands,1,0,1,Stable; minor encroachment noted (2021).,0.82,"Very Near (Adjacent, 0-2 km)",7.7,0.731,Near (2-10 km),9.3,0.812,"Very Near (Adjacent, 0-2 km)",6.5,0.81,"Very Near (Adjacent, 0-2 km)",8.3,0.814,"Very Near (Adjacent, 0-2 km)",6.6,0.797,
Budaka,Eastern,Budaka,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.808,"Very Near (Adjacent, 0-2 km)",7.2,0.823,"Very Near (Adjacent, 0-2 km)",6.3,0.804,"Very Near (Adjacent, 0-2 km)",6.8,0.807,"Very Near (Adjacent, 0-2 km)",8.3,0.803,"Very Near (Adjacent, 0-2 km)",8.1,0.809,
Bududa,Eastern,Bududa,"Minor rivers (e.g., Manafwa River tributaries); Mt. Elgon wetlands",1,0,1,Stable; landslide impacts on rivers (2020).,0.801,"Very Near (Adjacent, 0-2 km)",8.2,0.807,"Very Near (Adjacent, 0-2 km)",8.0,0.814,"Very Near (Adjacent, 0-2 km)",6.1,0.8,"Very Near (Adjacent, 0-2 km)",8.3,0.818,"Very Near (Adjacent, 0-2 km)",6.9,0.808,
Bugiri,Eastern,Bugiri,Lake Victoria (fringes); Busoga Wetlands,1,1,0,Stable; pollution rise in Victoria (2023).,0.911,"Very Near (Adjacent, 0-2 km)",3.8,0.916,"Very Near (Adjacent, 0-2 km)",2.1,0.921,"Very Near (Adjacent, 0-2 km)",2.6,0.831,"Very Near (Adjacent, 0-2 km)",6.5,0.928,"Very Near (Adjacent, 0-2 km)",1.8,0.901,
Bugweri,Eastern,Bugweri,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.825,"Very Near (Adjacent, 0-2 km)",6.9,0.831,"Very Near (Adjacent, 0-2 km)",7.3,0.819,"Very Near (Adjacent, 0-2 km)",7.1,0.827,"Very Near (Adjacent, 0-2 km)",6.0,0.818,"Very Near (Adjacent, 0-2 km)",7.6,0.824,
Bukedea,Eastern,Bukedea,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.82,"Very Near (Adjacent, 0-2 km)",6.9,0.831,"Very Near (Adjacent, 0-2 km)",7.6,0.807,"Very Near (Adjacent, 0-2 km)",6.3,0.821,"Very Near (Adjacent, 0-2 km)",6.0,0.835,"Very Near (Adjacent, 0-2 km)",6.2,0.823,
Bukwo,Eastern,Bukwo,Minor rivers; Mt. Elgon wetlands,1,0,1,Stable.,0.818,"Very Near (Adjacent, 0-2 km)",7.7,0.831,"Very Near (Adjacent, 0-2 km)",5.6,0.815,"Very Near (Adjacent, 0-2 km)",6.3,0.815,"Very Near (Adjacent, 0-2 km)",6.1,0.832,"Very Near (Adjacent, 0-2 km)",6.0,0.822,
Bulambuli,Eastern,Bulambuli,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.812,"Very Near (Adjacent, 0-2 km)",8.1,0.83,"Very Near (Adjacent, 0-2 km)",6.1,0.817,"Very Near (Adjacent, 0-2 km)",7.3,0.804,"Very Near (Adjacent, 0-2 km)",6.6,0.831,"Very Near (Adjacent, 0-2 km)",5.6,0.819,
Busia,Eastern,Busia,Minor rivers; seasonal wetlands near Kenya border,1,0,1,Stable.,0.825,"Very Near (Adjacent, 0-2 km)",7.2,0.82,"Very Near (Adjacent, 0-2 km)",6.5,0.831,"Very Near (Adjacent, 0-2 km)",7.1,0.8,"Very Near (Adjacent, 0-2 km)",8.6,0.822,"Very Near (Adjacent, 0-2 km)",6.3,0.82,
Butaleja,Eastern,Butaleja,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.803,"Very Near (Adjacent, 0-2 km)",6.5,0.829,"Very Near (Adjacent, 0-2 km)",7.3,0.811,"Very Near (Adjacent, 0-2 km)",6.4,0.8,"Very Near (Adjacent, 0-2 km)",7.4,0.809,"Very Near (Adjacent, 0-2 km)",6.2,0.81,
Butebo,Eastern,Butebo,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.809,"Very Near (Adjacent, 0-2 km)",8.0,0.799,"Very Near (Adjacent, 0-2 km)",7.4,0.817,"Very Near (Adjacent, 0-2 km)",6.1,0.798,"Very Near (Adjacent, 0-2 km)",6.7,0.802,"Very Near (Adjacent, 0-2 km)",8.7,0.805,
Buyende,Eastern,Buyende,Nile River (Victoria Nile); seasonal wetlands,1,0,1,Stable.,0.831,"Very Near (Adjacent, 0-2 km)",6.9,0.833,"Very Near (Adjacent, 0-2 km)",5.9,0.807,"Very Near (Adjacent, 0-2 km)",8.2,0.821,"Very Near (Adjacent, 0-2 km)",7.8,0.811,"Very Near (Adjacent, 0-2 km)",7.0,0.821,
Iganga,Eastern,Iganga,Minor rivers; Busoga Wetlands fringes,1,0,1,Stable.,0.825,"Very Near (Adjacent, 0-2 km)",7.6,0.803,"Very Near (Adjacent, 0-2 km)",6.9,0.797,"Very Near (Adjacent, 0-2 km)",7.9,0.834,"Very Near (Adjacent, 0-2 km)",6.5,0.803,"Very Near (Adjacent, 0-2 km)",7.9,0.812,
Jinja,Eastern,Jinja,Lake Victoria; Nile River (source); Owen Falls,0,1,1,Stable; hydropower impacts monitored.,0.273,Far (>25 km),26.7,0.283,Far (>25 km),27.6,0.266,Far (>25 km),27.5,0.253,Far (>25 km),28.3,0.261,Far (>25 km),27.4,0.267,
Kaberamaido,Eastern,Kaberamaido,Lake Kyoga fringes; minor rivers,0,1,1,Stable.,0.693,Near (2-10 km),12.1,0.705,Near (2-10 km),12.3,0.685,Near (2-10 km),12.5,0.682,Near (2-10 km),11.9,0.689,Near (2-10 km),13.0,0.691,
Kalaki,Eastern,Kaberamaido,Lake Kyoga fringes; minor rivers,0,1,1,Stable.,0.668,Near (2-10 km),12.5,0.68,Near (2-10 km),12.9,0.705,Near (2-10 km),11.1,0.67,Near (2-10 km),12.8,0.69,Near (2-10 km),12.2,0.683,Proxy from Kaberamaido (nearest/parent district; no direct record for Kalaki)
Kaliro,Eastern,Kaliro,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.828,"Very Near (Adjacent, 0-2 km)",6.4,0.819,"Very Near (Adjacent, 0-2 km)",7.5,0.798,"Very Near (Adjacent, 0-2 km)",7.1,0.824,"Very Near (Adjacent, 0-2 km)",7.8,0.834,"Very Near (Adjacent, 0-2 km)",5.8,0.821,
